----------
29/08/22 11h35
Test carte SD, sans 18b20 et MAX30100

Index;Temperature;Cardio;Saturation;Son;Accelerationy
----------
29/08/22 11h35
Test carte SD, sans 18b20 et MAX30100

Index;Temperature;Cardio;Saturation;Son;Accelerationy
----------
29/08/22 11h35
Test carte SD, sans 18b20 et MAX30100

Index;Temperature;Cardio;Saturation;Son;Accelerationy
----------
29/08/22 11h35
Test carte SD, sans 18b20 et MAX30100

Index;Temperature;Cardio;Saturation;Son;Accelerationy
----------
29/08/22 11h35
Test carte SD, sans 18b20 et MAX30100

Index;Temperature;Cardio;Saturation;Son;Accelerationy
----------
29/08/22 11h35
Test carte SD, sans 18b20 et MAX30100

Index;Temperature;Cardio;Saturation;Son;Accelerationy
----------
29/08/22 11h35
Test carte SD, sans 18b20 et MAX30100

Index;Temperature;Cardio;Saturation;Son;Accelerationy
----------
29/08/22 11h35
Test carte SD, sans 18b20 et MAX30100

Index;Temperature;Cardio;Saturation;Son;Accelerationy
-14836;-27.54;0.00;01019;-860
4618;-34.38;0.00;01023;-866
5500;-34.38;0.00;01023;-866
6283;-32.91;30.58;01023;-942
7146;-32.91;30.58;01023;-942
7956;-32.91;88.98;951022;-936
8820;-32.91;88.98;951022;-936
9683;-32.91;88.98;951022;-936
10460;-27.54;134.45;951023;-942
11353;-27.54;134.45;951023;-942
12130;-21.19;136.99;951023;-936
12994;-21.19;136.99;951023;-936
13888;-21.19;136.99;951023;-936
14862;-32.42;137.75;951023;-942
15726;-32.42;137.75;951023;-942
16533;-34.38;134.20;951023;-942
17396;-34.38;134.20;951023;-942
18204;-33.89;138.16;951023;-936
19059;-33.89;138.16;951023;-936
19950;-33.89;138.16;951023;-936
20914;-17.77;137.41;951015;-825
21804;-17.77;137.41;951015;-825
22579;-23.14;132.44;951023;-936
23471;-23.14;132.44;951023;-936
24250;-18.75;136.72;951016;-825
25141;-18.75;136.72;951016;-825
26005;-18.75;136.72;951016;-825
26980;-30.47;138.77;951023;-936
27843;-30.47;138.77;951023;-936
28649;-25.10;134.25;951023;-936
29514;-25.10;134.25;951023;-936
30291;-33.89;138.05;951023;-924
31142;-33.89;138.05;951023;-924
32024;-33.89;138.05;951023;-924
-32537;-32.91;137.82;951023;-936
-31674;-32.91;137.82;951023;-936
-30868;-34.38;134.21;951023;-942
-30005;-34.38;134.21;951023;-942
-29199;-29.98;138.16;951016;-825
-28335;-29.98;138.16;951016;-825
