Index;Date;Time;Cardio1;Saturation1;Cardio2;Saturation2;Cardio3;Saturation3;Acceleration g;Acceleration a
67;5/1/2023;6:34:0;0.00;0;0.00;0;0.00;0;3.66;1.84
68;5/1/2023;6:34:0;0.00;0;0.00;0;0.00;0;3.66;1.84
69;5/1/2023;6:34:4;0.00;0;0.00;0;0.00;0;3.66;1.84
70;5/1/2023;6:34:4;0.00;0;0.00;0;0.00;0;3.66;1.84
71;5/1/2023;6:34:0;0.00;0;0.00;0;0.00;0;3.66;1.84
72;5/1/2023;6:34:0;0.00;0;0.00;0;0.00;0;3.66;1.84
73;5/1/2023;6:34:0;0.00;0;0.00;0;0.00;0;3.66;1.84
74;5/1/2023;6:34:4;0.00;0;0.00;0;0.00;0;3.66;1.84
75;5/1/2023;6:34:4;0.00;0;0.00;0;0.00;0;3.66;1.84
76;5/1/2023;6:34:0;0.00;0;0.00;0;0.00;0;3.66;1.84
77;5/1/2023;6:34:20;0.00;0;0.00;0;0.00;0;3.66;1.84
78;5/1/2023;6:34:20;0.00;0;0.00;0;0.00;0;3.66;1.84
79;5/1/2023;6:34:24;0.00;0;0.00;0;0.00;0;3.66;1.84
80;5/1/2023;6:34:24;0.00;0;0.00;0;0.00;0;3.66;1.84
81;5/1/2023;6:34:20;0.00;0;0.00;0;0.00;0;3.66;1.84
82;5/1/2023;6:34:20;0.00;0;0.00;0;0.00;0;3.66;1.84
83;5/1/2023;6:34:20;0.00;0;0.00;0;0.00;0;3.66;1.84
84;5/1/2023;6:34:24;0.00;0;0.00;0;0.00;0;3.66;1.84
85;5/1/2023;6:34:24;0.00;0;0.00;0;0.00;0;3.66;1.84
86;5/1/2023;6:34:20;0.00;0;0.00;0;0.00;0;3.66;1.84
87;5/1/2023;6:34:0;0.00;0;0.00;0;0.00;0;3.66;1.84
88;5/1/2023;6:34:0;0.00;0;0.00;0;0.00;0;3.66;1.84
89;5/1/2023;6:34:4;0.00;0;0.00;0;0.00;0;3.66;1.84
90;5/1/2023;6:34:4;0.00;0;0.00;0;0.00;0;3.66;1.84
91;5/1/2023;6:34:0;0.00;0;0.00;0;0.00;0;3.66;1.84
92;5/1/2023;6:34:0;0.00;0;0.00;0;0.00;0;3.66;1.84
93;5/1/2023;6:34:0;0.00;0;0.00;0;0.00;0;3.66;1.84
94;5/1/2023;6:34:4;0.00;0;0.00;0;0.00;0;3.66;1.84
95;5/1/2023;6:34:4;0.00;0;0.00;0;0.00;0;3.66;1.84
96;5/1/2023;6:34:0;0.00;0;0.00;0;0.00;0;3.66;1.84
97;5/1/2023;6:30:0;0.00;0;0.00;0;0.00;0;0.04;1.84
98;5/1/2023;6:30:0;0.00;0;0.00;0;0.00;0;3.66;1.84
99;5/1/2023;6:30:5;0.00;0;0.00;0;0.00;0;3.66;1.84
100;5/1/2023;6:30:5;0.00;0;0.00;0;0.00;0;3.66;1.83
101;5/1/2023;6:30:1;0.00;0;0.00;0;0.00;0;3.66;1.84
102;5/1/2023;6:30:1;0.00;0;0.00;0;0.00;0;3.66;1.84
103;5/1/2023;6:30:1;0.00;0;0.00;0;0.00;0;3.66;1.84
104;5/1/2023;6:30:5;0.00;0;0.00;0;0.00;0;3.66;1.84
105;5/1/2023;6:30:5;0.00;0;0.00;0;0.00;0;3.66;1.84
106;5/1/2023;6:30:1;0.00;0;0.00;0;0.00;0;3.66;1.84
107;5/1/2023;6:30:21;0.00;0;0.00;0;0.00;0;3.66;1.84
108;5/1/2023;6:30:21;0.00;0;0.00;0;0.00;0;3.66;1.84
109;5/1/2023;6:30:25;0.00;0;0.00;0;0.00;0;3.66;1.84
110;5/1/2023;6:30:25;0.00;0;0.00;0;0.00;0;3.66;1.84
111;5/1/2023;6:30:21;0.00;0;0.00;0;0.00;0;3.66;1.84
112;5/1/2023;6:30:21;0.00;0;0.00;0;0.00;0;3.66;1.84
113;5/1/2023;6:30:21;0.00;0;0.00;0;0.00;0;3.66;1.84
114;5/1/2023;6:30:25;0.00;0;0.00;0;0.00;0;3.66;1.84
115;5/1/2023;6:30:25;0.00;0;0.00;0;0.00;0;3.66;1.84
116;5/1/2023;6:30:21;0.00;0;0.00;0;0.00;0;3.66;1.84
117;5/1/2023;6:30:1;0.00;0;0.00;0;0.00;0;3.66;1.84
118;5/1/2023;6:30:1;0.00;0;0.00;0;0.00;0;3.66;1.84
119;5/1/2023;6:30:5;0.00;0;0.00;0;0.00;0;3.66;1.84
120;5/1/2023;6:30:5;0.00;0;0.00;0;0.00;0;3.66;1.84
121;5/1/2023;6:30:1;0.00;0;0.00;0;0.00;0;3.66;1.84
122;5/1/2023;6:30:1;0.00;0;0.00;0;0.00;0;3.66;1.84
123;5/1/2023;6:30:1;0.00;0;0.00;0;0.00;0;3.66;1.84
124;5/1/2023;6:30:5;0.00;0;0.00;0;0.00;0;3.66;1.84
125;5/1/2023;6:30:5;0.00;0;0.00;0;0.00;0;3.66;1.84
126;5/1/2023;6:30:1;0.00;0;0.00;0;0.00;0;3.66;1.84
127;5/1/2023;6:30:1;0.00;0;0.00;0;0.00;0;3.66;1.84
128;5/1/2023;6:30:1;0.00;0;0.00;0;0.00;0;3.66;1.84
129;5/1/2023;6:30:5;0.00;0;0.00;0;0.00;0;3.66;1.84
130;5/1/2023;6:30:5;0.00;0;0.00;0;0.00;0;3.66;1.84
131;5/1/2023;6:30:1;0.00;0;0.00;0;0.00;0;3.66;1.84
132;5/1/2023;6:30:1;0.00;0;0.00;0;0.00;0;3.66;1.84
133;5/1/2023;6:30:1;0.00;0;0.00;0;0.00;0;3.66;1.84
134;5/1/2023;6:30:5;0.00;0;0.00;0;0.00;0;3.66;1.84
135;5/1/2023;6:30:5;0.00;0;0.00;0;0.00;0;3.66;1.84
136;5/1/2023;6:30:1;0.00;0;0.00;0;0.00;0;3.66;1.84
