Index;Date;Time;Temperature(°C);Cardio(BPM);Saturation(%SpO2);Audio(%max);Rotation(rad/s);Acceleration(m/s2)
85;07/03/2023;13:26:05;28.46;0.00;0;99.00;0.06;10.09
86;07/03/2023;13:26:07;28.49;0.00;0;99.00;0.07;10.08
87;07/03/2023;13:26:09;28.48;0.00;0;99.00;0.07;10.08
88;07/03/2023;13:26:11;28.50;0.00;0;99.00;0.07;10.06
89;07/03/2023;13:26:13;28.49;0.00;0;99.00;0.07;10.07
90;07/03/2023;13:26:15;28.52;0.00;0;99.00;0.07;10.10
91;07/03/2023;13:26:17;28.52;0.00;0;99.00;0.07;10.11
92;07/03/2023;13:26:19;28.52;0.00;0;99.00;0.07;10.06
93;07/03/2023;13:26:21;28.53;0.00;0;99.00;0.07;10.06
94;07/03/2023;13:26:23;28.53;0.00;0;99.00;0.07;10.09
95;07/03/2023;13:26:25;28.55;0.00;0;99.00;0.07;10.09
96;07/03/2023;13:26:27;28.56;0.00;0;99.00;0.07;10.07
97;07/03/2023;13:26:29;28.53;0.00;0;99.00;0.07;10.09
98;07/03/2023;13:26:31;28.55;0.00;0;99.00;0.07;10.06
99;07/03/2023;13:26:34;28.57;0.00;0;99.00;0.07;10.07
100;07/03/2023;13:26:36;28.57;0.00;0;99.00;0.07;10.08
101;07/03/2023;13:26:38;28.57;0.00;0;99.00;0.07;10.08
102;07/03/2023;13:26:40;28.59;0.00;0;99.00;0.07;10.07
103;07/03/2023;13:26:42;28.59;0.00;0;99.00;0.07;10.09
104;07/03/2023;13:26:44;28.62;0.00;0;99.00;0.07;10.09
105;07/03/2023;13:26:46;28.60;0.00;0;99.00;0.07;10.09
106;07/03/2023;13:26:48;28.62;0.00;0;99.00;0.06;10.07
107;07/03/2023;13:26:50;28.61;0.00;0;99.00;0.07;10.07
108;07/03/2023;13:26:52;28.62;0.00;0;99.00;0.07;10.09
109;07/03/2023;13:26:54;28.62;0.00;0;99.00;0.07;10.08
110;07/03/2023;13:26:56;28.61;0.00;0;99.00;0.07;10.08
111;07/03/2023;13:26:58;28.61;0.00;0;99.00;0.07;10.08
112;07/03/2023;13:27:00;28.61;0.00;0;99.00;0.07;10.07
113;07/03/2023;13:27:02;28.64;0.00;0;99.00;0.07;10.08
114;07/03/2023;13:27:04;28.66;0.00;0;99.00;0.07;10.08
115;07/03/2023;13:27:06;28.64;0.00;0;99.00;0.07;10.06
116;07/03/2023;13:27:08;28.65;0.00;0;99.00;0.07;10.07
117;07/03/2023;13:27:10;28.66;0.00;0;99.00;0.07;10.07
118;07/03/2023;13:27:12;28.65;0.00;0;99.00;0.07;10.08
119;07/03/2023;13:27:14;28.67;0.00;0;99.00;0.07;10.08
120;07/03/2023;13:27:16;28.68;0.00;0;99.00;0.07;10.08
121;07/03/2023;13:27:18;28.68;0.00;0;99.00;0.07;10.07
122;07/03/2023;13:27:20;28.69;0.00;0;99.00;0.07;10.07
123;07/03/2023;13:27:22;28.67;0.00;0;99.00;0.06;10.09
124;07/03/2023;13:27:24;28.69;0.00;0;99.00;0.07;10.08
125;07/03/2023;13:27:26;28.68;0.00;0;99.00;0.07;10.08
126;07/03/2023;13:27:28;28.72;0.00;0;99.00;0.06;10.09
127;07/03/2023;13:27:30;28.68;0.00;0;99.00;0.07;10.09
128;07/03/2023;13:27:32;28.72;0.00;0;99.00;0.07;10.08
129;07/03/2023;13:27:34;28.73;0.00;0;99.00;0.07;10.06
130;07/03/2023;13:27:36;28.71;0.00;0;99.00;0.07;10.08
131;07/03/2023;13:27:38;28.72;0.00;0;99.00;0.07;10.08
132;07/03/2023;13:27:40;28.71;0.00;0;99.00;0.07;10.07
133;07/03/2023;13:27:42;28.73;0.00;0;99.00;0.07;10.08
134;07/03/2023;13:27:44;28.73;0.00;0;99.00;0.07;10.08
135;07/03/2023;13:27:46;28.74;0.00;0;99.00;0.07;10.08
136;07/03/2023;13:27:48;28.73;0.00;0;99.00;0.06;10.09
137;07/03/2023;13:27:50;28.73;0.00;0;99.00;0.07;10.06
138;07/03/2023;13:27:52;28.74;0.00;0;99.00;0.07;10.08
139;07/03/2023;13:27:54;28.75;0.00;0;99.00;0.07;10.08
140;07/03/2023;13:27:56;28.76;0.00;0;99.00;0.07;10.08
141;07/03/2023;13:27:58;28.75;0.00;0;99.00;0.07;10.10
142;07/03/2023;13:28:00;28.73;0.00;0;99.00;0.07;10.09
143;07/03/2023;13:28:02;28.75;0.00;0;99.00;0.07;10.08
144;07/03/2023;13:28:04;28.74;0.00;0;99.00;0.07;10.07
145;07/03/2023;13:28:06;28.77;0.00;0;99.00;0.07;10.06
146;07/03/2023;13:28:08;28.78;0.00;0;99.00;0.06;10.06
147;07/03/2023;13:28:10;28.76;0.00;0;99.00;0.07;10.08
148;07/03/2023;13:28:12;28.77;0.00;0;99.00;0.07;10.07
