Index;Date;Time;Cardio(BPM);Saturation(%SpO2);Audio(%max);Movement;Silence;Evenement
5;10/04/2023;22:19:46;96.60;94.00;1.39;0.56;0.29;0.07
6;10/04/2023;22:19:48;84.68;94.00;1.48;0.08;0.27;0.13
7;10/04/2023;22:19:50;84.39;94.00;1.20;0.17;0.24;0.12
8;10/04/2023;22:19:52;88.58;94.00;1.17;0.41;0.26;0.13
9;10/04/2023;22:19:54;70.62;94.01;1.22;0.25;0.34;0.17
10;10/04/2023;22:19:56;73.78;94.01;1.43;0.43;0.03;0.02
11;10/04/2023;22:19:58;74.46;94.02;1.38;0.15;0.00;0.00
12;10/04/2023;22:20:00;70.56;94.03;1.26;0.35;0.00;0.00
13;10/04/2023;22:20:02;71.90;94.04;0.82;0.29;0.00;0.00
14;10/04/2023;22:20:04;72.80;94.07;0.59;0.22;0.00;0.00
15;10/04/2023;22:20:06;67.45;94.10;0.41;0.51;0.00;0.00
16;10/04/2023;22:20:08;64.87;94.15;0.71;0.12;0.06;0.03
17;10/04/2023;22:20:10;54.96;94.21;0.57;0.03;0.29;0.15
18;10/04/2023;22:20:12;52.39;94.36;0.63;0.01;0.23;0.07
19;10/04/2023;22:20:14;50.91;94.59;0.86;0.01;0.10;0.01
20;10/04/2023;22:20:16;49.69;94.93;0.58;0.01;0.07;0.00
21;10/04/2023;22:20:18;49.17;95.25;0.92;0.00;0.10;0.00
22;10/04/2023;22:20:20;49.24;95.62;0.74;0.00;0.42;0.00
23;10/04/2023;22:20:22;49.97;95.92;0.74;0.01;0.78;0.00
24;10/04/2023;22:20:24;51.60;96.20;0.79;0.00;0.73;0.00
25;10/04/2023;22:20:26;54.72;96.32;0.65;0.00;0.47;0.01
26;10/04/2023;22:20:28;56.98;96.29;0.88;0.00;0.54;0.04
27;10/04/2023;22:20:30;52.75;96.32;0.78;0.01;0.73;0.06
28;10/04/2023;22:20:32;52.42;96.43;0.79;0.00;0.72;0.03
29;10/04/2023;22:20:34;53.66;96.65;0.92;0.00;0.66;0.01
30;10/04/2023;22:20:36;56.90;96.77;0.81;0.01;0.64;0.00
31;10/04/2023;22:20:38;60.89;96.85;0.81;0.01;0.61;0.00
32;10/04/2023;22:20:40;64.82;96.91;0.53;0.00;0.88;0.00
Index;Date;Time;Cardio(BPM);Saturation(%SpO2);Audio(%max);Movement;Silence;Evenement
68;10/04/2023;22:21:53;69.01;96.08;1.23;0.05;0.39;0.00
69;10/04/2023;22:21:55;67.92;96.13;1.25;0.00;0.23;0.00
70;10/04/2023;22:21:57;66.08;96.00;1.18;0.10;0.25;0.00
71;10/04/2023;22:21:59;63.86;95.87;0.86;0.17;0.22;0.01
72;10/04/2023;22:22:01;61.48;95.72;0.88;0.05;0.24;0.02
73;10/04/2023;22:22:03;59.09;95.47;0.78;0.10;0.37;0.07
74;10/04/2023;22:22:05;56.96;95.37;1.01;0.24;0.42;0.06
75;10/04/2023;22:22:07;55.53;95.35;1.11;0.00;0.40;0.02
76;10/04/2023;22:22:09;54.84;95.38;0.90;0.10;0.57;0.05
77;10/04/2023;22:22:11;56.84;95.48;0.90;0.20;0.71;0.08
78;10/04/2023;22:22:13;59.17;95.76;0.83;0.05;0.66;0.04
79;10/04/2023;22:22:15;59.58;95.92;0.87;0.10;0.71;0.00
80;10/04/2023;22:22:17;60.28;96.07;0.98;0.11;0.71;0.00
81;10/04/2023;22:22:19;62.53;96.24;0.97;0.05;0.62;0.02
82;10/04/2023;22:22:21;64.17;96.48;1.13;0.13;0.56;0.03
83;10/04/2023;22:22:23;61.37;96.59;0.90;0.18;0.65;0.03
84;10/04/2023;22:22:25;58.06;96.62;0.99;0.11;0.79;0.04
85;10/04/2023;22:22:27;57.65;96.58;0.97;0.05;0.88;0.06
86;10/04/2023;22:22:29;58.67;96.38;0.94;0.05;0.83;0.07
87;10/04/2023;22:22:31;60.31;96.33;1.00;0.18;0.77;0.07
88;10/04/2023;22:22:33;60.54;96.35;0.91;0.10;0.38;0.06
89;10/04/2023;22:22:35;64.02;96.45;0.98;0.22;0.08;0.02
90;10/04/2023;22:22:37;62.99;96.64;1.41;0.05;0.04;0.01
91;10/04/2023;22:22:39;61.93;96.74;0.93;0.00;0.07;0.00
92;10/04/2023;22:22:41;60.72;96.79;0.87;0.05;0.25;0.00
93;10/04/2023;22:22:43;59.43;96.81;0.96;0.11;0.48;0.00
94;10/04/2023;22:22:45;58.13;96.78;0.95;0.18;0.43;0.00
95;10/04/2023;22:22:47;56.85;96.71;1.23;0.13;0.37;0.01
96;10/04/2023;22:22:49;55.65;96.59;0.99;0.05;0.44;0.01
97;10/04/2023;22:22:51;54.63;96.37;0.92;0.10;0.51;0.01
98;10/04/2023;22:22:53;53.94;96.24;1.13;0.10;0.56;0.00
99;10/04/2023;22:22:55;53.42;96.15;1.16;0.13;0.69;0.00
100;10/04/2023;22:22:57;53.00;96.10;1.19;0.05;0.67;0.00
101;10/04/2023;22:22:59;52.65;96.06;0.99;0.00;0.50;0.00
102;10/04/2023;22:23:01;52.33;96.04;1.10;0.48;0.37;0.00
103;10/04/2023;22:23:03;52.02;96.03;1.35;0.10;0.40;0.00
104;10/04/2023;22:23:05;51.73;96.02;1.14;0.22;0.54;0.00
105;10/04/2023;22:23:07;51.44;96.01;1.33;0.10;0.67;0.00
106;10/04/2023;22:23:09;51.15;96.01;1.20;0.14;0.73;0.00
107;10/04/2023;22:23:12;50.84;96.00;1.22;0.14;0.73;0.00
108;10/04/2023;22:23:14;50.52;96.00;1.37;0.05;0.71;0.00
109;10/04/2023;22:23:16;50.15;96.00;1.29;0.10;0.69;0.00
110;10/04/2023;22:23:18;49.73;96.00;1.41;0.00;0.66;0.00
111;10/04/2023;22:23:20;49.18;96.00;1.21;0.05;0.63;0.00
112;10/04/2023;22:23:22;48.45;96.00;1.21;0.00;0.61;0.00
113;10/04/2023;22:23:24;46.37;96.00;1.28;0.10;0.70;0.00
Index;Date;Time;Cardio(BPM);Saturation(%SpO2);Audio(%max);Movement;Silence;Evenement
125;10/04/2023;22:23:48;47.46;96.04;1.38;0.05;0.42;0.00
126;10/04/2023;22:23:50;48.13;96.06;1.27;0.00;0.36;0.00
127;10/04/2023;22:23:52;49.28;96.09;1.15;0.05;0.41;0.00
128;10/04/2023;22:23:54;51.25;96.14;1.44;0.05;0.26;0.00
129;10/04/2023;22:23:56;54.63;96.22;1.34;0.12;0.09;0.00
130;10/04/2023;22:23:58;57.43;96.14;1.70;0.05;0.01;0.00
131;10/04/2023;22:24:00;60.11;96.09;1.44;0.10;0.00;0.00
132;10/04/2023;22:24:02;60.67;96.06;0.69;0.05;0.01;0.00
133;10/04/2023;22:24:04;61.33;96.04;0.92;0.00;0.06;0.00
134;10/04/2023;22:24:06;64.32;96.03;0.89;0.10;0.42;0.00
135;10/04/2023;22:24:08;62.47;96.02;1.06;0.10;0.60;0.00
136;10/04/2023;22:24:10;58.23;96.02;0.82;0.00;0.61;0.00
137;10/04/2023;22:24:12;53.34;96.02;0.87;0.00;0.69;0.00
138;10/04/2023;22:24:14;50.13;96.02;0.88;0.05;0.78;0.00
139;10/04/2023;22:24:16;48.64;96.03;0.94;0.14;0.78;0.00
140;10/04/2023;22:24:18;48.17;96.04;1.01;0.14;0.72;0.00
141;10/04/2023;22:24:20;48.28;96.06;0.99;0.05;0.64;0.00
142;10/04/2023;22:24:22;48.74;96.10;0.80;0.05;0.56;0.00
143;10/04/2023;22:24:24;49.46;96.15;1.05;0.14;0.60;0.00
144;10/04/2023;22:24:26;50.43;96.23;0.99;0.00;0.75;0.00
145;10/04/2023;22:24:28;52.81;96.36;0.97;0.05;0.85;0.00
146;10/04/2023;22:24:30;55.10;96.37;0.98;0.18;0.81;0.00
147;10/04/2023;22:24:32;55.75;96.24;1.02;0.05;0.74;0.00
148;10/04/2023;22:24:34;56.33;96.16;1.13;0.10;0.63;0.00
149;10/04/2023;22:24:36;56.37;96.12;0.99;0.05;0.42;0.00
150;10/04/2023;22:24:38;56.85;96.10;1.26;0.00;0.23;0.00
151;10/04/2023;22:24:40;58.92;96.10;1.08;0.14;0.16;0.00
152;10/04/2023;22:24:42;61.46;96.11;0.73;0.00;0.19;0.00
153;10/04/2023;22:24:44;63.51;96.16;0.87;0.10;0.38;0.00
154;10/04/2023;22:24:46;63.99;96.23;0.94;0.05;0.64;0.00
155;10/04/2023;22:24:48;61.28;96.15;1.04;0.05;0.74;0.00
156;10/04/2023;22:24:50;58.06;96.09;0.98;0.00;0.76;0.00
157;10/04/2023;22:24:52;56.83;96.06;0.95;0.00;0.59;0.00
158;10/04/2023;22:24:54;56.74;96.04;0.82;0.00;0.34;0.00
159;10/04/2023;22:24:56;57.26;96.03;1.08;0.10;0.28;0.00
160;10/04/2023;22:24:58;57.42;96.02;1.27;0.00;0.39;0.00
161;10/04/2023;22:25:00;56.14;96.01;1.05;0.18;0.58;0.00
162;10/04/2023;22:25:02;54.94;96.01;1.16;0.00;0.69;0.00
163;10/04/2023;22:25:04;55.37;96.01;1.24;0.05;0.74;0.00
164;10/04/2023;22:25:06;58.88;96.01;1.10;0.00;0.74;0.00
165;10/04/2023;22:25:08;60.42;96.01;1.21;0.00;0.70;0.00
166;10/04/2023;22:25:10;58.99;96.01;1.28;0.05;0.69;0.00
167;10/04/2023;22:25:12;57.87;96.02;1.09;0.05;0.69;0.00
168;10/04/2023;22:25:14;56.45;96.03;1.15;0.14;0.69;0.00
169;10/04/2023;22:25:16;57.59;96.04;1.20;0.10;0.58;0.00
170;10/04/2023;22:25:18;59.33;96.06;1.36;0.00;0.48;0.00
171;10/04/2023;22:25:20;60.55;96.10;1.06;0.18;0.49;0.00
172;10/04/2023;22:25:22;60.27;96.15;1.12;0.05;0.63;0.00
173;10/04/2023;22:25:24;61.46;96.23;1.17;0.05;0.70;0.00
174;10/04/2023;22:25:26;62.64;96.37;1.29;0.00;0.69;0.00
175;10/04/2023;22:25:28;62.32;96.37;1.15;0.18;0.55;0.00
176;10/04/2023;22:25:30;61.39;96.25;1.04;0.05;0.39;0.00
177;10/04/2023;22:25:32;59.29;96.17;1.32;0.10;0.35;0.00
178;10/04/2023;22:25:35;56.86;96.13;1.43;0.05;0.42;0.00
179;10/04/2023;22:25:37;56.95;96.12;1.32;0.10;0.49;0.00
180;10/04/2023;22:25:39;57.46;96.13;1.18;0.05;0.35;0.00
181;10/04/2023;22:25:41;58.24;96.17;1.46;0.05;0.21;0.00
182;10/04/2023;22:25:43;59.20;96.24;1.00;0.14;0.20;0.00
183;10/04/2023;22:25:45;60.34;96.16;1.31;0.14;0.31;0.00
184;10/04/2023;22:25:47;64.00;96.11;1.15;0.10;0.42;0.00
185;10/04/2023;22:25:49;59.92;96.08;1.00;0.00;0.41;0.00
186;10/04/2023;22:25:51;53.80;96.06;1.23;0.10;0.49;0.00
187;10/04/2023;22:25:53;50.71;96.06;1.27;0.05;0.64;0.00
188;10/04/2023;22:25:55;49.68;96.08;1.32;0.00;0.54;0.00
189;10/04/2023;22:25:57;50.34;96.11;1.29;0.14;0.19;0.00
190;10/04/2023;22:25:59;52.84;96.15;1.51;0.00;0.09;0.00
191;10/04/2023;22:26:01;57.91;96.24;0.97;0.26;0.08;0.00
192;10/04/2023;22:26:03;60.94;96.16;1.07;0.14;0.16;0.00
193;10/04/2023;22:26:05;59.03;96.12;0.86;0.14;0.31;0.00
194;10/04/2023;22:26:07;55.40;96.11;1.09;0.05;0.50;0.00
195;10/04/2023;22:26:09;52.66;96.11;1.15;0.22;0.66;0.00
196;10/04/2023;22:26:11;51.70;96.14;1.05;0.00;0.75;0.00
197;10/04/2023;22:26:13;52.37;96.20;1.18;0.14;0.72;0.00
198;10/04/2023;22:26:15;54.95;96.30;1.04;0.00;0.68;0.00
199;10/04/2023;22:26:17;60.39;96.45;1.21;0.14;0.62;0.00
200;10/04/2023;22:26:19;66.10;96.50;1.20;0.05;0.61;0.00
201;10/04/2023;22:26:21;65.99;96.45;1.00;0.00;0.59;0.00
202;10/04/2023;22:26:23;65.12;96.28;1.04;0.10;0.55;0.00
203;10/04/2023;22:26:25;63.20;96.17;1.03;0.05;0.45;0.00
204;10/04/2023;22:26:27;60.54;96.10;1.32;0.10;0.47;0.00
205;10/04/2023;22:26:29;57.24;96.04;1.12;0.00;0.56;0.00
206;10/04/2023;22:26:31;54.99;95.99;1.11;0.05;0.60;0.00
207;10/04/2023;22:26:33;55.78;95.95;1.31;0.10;0.56;0.00
208;10/04/2023;22:26:35;55.09;95.89;1.27;0.05;0.50;0.00
209;10/04/2023;22:26:37;57.37;95.80;1.40;0.00;0.32;0.00
210;10/04/2023;22:26:39;60.97;95.68;1.14;0.00;0.27;0.00
211;10/04/2023;22:26:41;60.97;95.50;0.95;0.00;0.28;0.00
212;10/04/2023;22:26:43;57.14;95.41;1.24;0.00;0.42;0.00
213;10/04/2023;22:26:45;57.33;95.41;1.08;0.05;0.54;0.00
214;10/04/2023;22:26:47;59.02;95.49;1.29;0.00;0.59;0.00
215;10/04/2023;22:26:49;60.35;95.68;1.20;0.05;0.58;0.00
216;10/04/2023;22:26:51;57.39;95.79;1.04;0.22;0.51;0.00
217;10/04/2023;22:26:53;55.08;95.87;1.29;0.05;0.52;0.00
218;10/04/2023;22:26:55;53.58;95.91;1.25;0.18;0.61;0.00
219;10/04/2023;22:26:57;53.30;95.94;1.39;0.00;0.68;0.00
220;10/04/2023;22:26:59;54.24;95.96;1.22;0.00;0.70;0.00
221;10/04/2023;22:27:01;53.09;95.97;1.36;0.14;0.66;0.00
222;10/04/2023;22:27:03;53.86;95.97;1.25;0.10;0.59;0.00
223;10/04/2023;22:27:05;55.86;95.97;1.45;0.10;0.56;0.00
224;10/04/2023;22:27:07;58.76;95.97;1.51;0.05;0.61;0.00
225;10/04/2023;22:27:09;62.52;95.95;1.36;0.14;0.73;0.00
226;10/04/2023;22:27:11;66.37;95.93;1.39;0.05;0.74;0.00
227;10/04/2023;22:27:13;67.49;95.90;1.31;0.00;0.67;0.00
228;10/04/2023;22:27:15;64.22;95.84;1.47;0.00;0.61;0.00
229;10/04/2023;22:27:17;62.50;95.75;1.55;0.05;0.58;0.00
230;10/04/2023;22:27:19;65.52;95.62;1.33;0.00;0.65;0.00
231;10/04/2023;22:27:21;64.23;95.40;1.41;0.14;0.73;0.00
232;10/04/2023;22:27:23;61.09;95.27;1.45;0.10;0.74;0.00
233;10/04/2023;22:27:25;57.98;95.19;1.34;0.05;0.70;0.00
234;10/04/2023;22:27:27;56.77;95.15;1.52;0.14;0.71;0.00
235;10/04/2023;22:27:29;56.00;95.13;1.50;0.00;0.79;0.00
236;10/04/2023;22:27:31;58.34;95.15;1.44;0.05;0.82;0.00
237;10/04/2023;22:27:33;59.77;95.19;1.49;0.05;0.76;0.00
238;10/04/2023;22:27:35;59.72;95.27;1.57;0.14;0.69;0.00
239;10/04/2023;22:27:37;58.66;95.40;1.60;0.05;0.48;0.00
240;10/04/2023;22:27:39;56.75;95.61;1.46;0.10;0.27;0.00
241;10/04/2023;22:27:41;53.87;95.75;1.19;0.05;0.20;0.00
242;10/04/2023;22:27:43;53.28;95.83;1.61;0.05;0.24;0.00
243;10/04/2023;22:27:45;55.32;95.89;1.39;0.10;0.36;0.00
244;10/04/2023;22:27:47;56.96;95.91;1.63;0.05;0.40;0.00
245;10/04/2023;22:27:49;58.58;95.93;1.33;0.00;0.29;0.00
246;10/04/2023;22:27:51;60.58;95.92;1.40;0.05;0.18;0.00
247;10/04/2023;22:27:53;63.43;95.90;1.80;0.10;0.13;0.00
248;10/04/2023;22:27:55;63.86;95.87;1.44;0.05;0.06;0.00
249;10/04/2023;22:27:57;62.97;95.80;1.74;0.05;0.01;0.00
250;10/04/2023;22:28:00;67.48;95.70;1.65;0.05;0.00;0.00
251;10/04/2023;22:28:02;68.37;95.94;0.71;0.05;0.00;0.00
252;10/04/2023;22:28:04;64.37;95.96;0.82;0.00;0.02;0.00
253;10/04/2023;22:28:06;59.91;95.97;0.72;0.10;0.26;0.00
254;10/04/2023;22:28:08;59.26;95.98;0.80;0.05;0.60;0.00
255;10/04/2023;22:28:10;59.27;95.99;0.65;0.05;0.69;0.00
256;10/04/2023;22:28:12;58.95;95.99;0.78;0.05;0.63;0.00
257;10/04/2023;22:28:14;57.56;96.00;0.70;0.00;0.56;0.00
258;10/04/2023;22:28:16;56.45;96.00;0.85;0.18;0.46;0.00
259;10/04/2023;22:28:18;57.05;96.00;1.03;0.05;0.46;0.00
260;10/04/2023;22:28:20;57.99;96.00;0.93;0.14;0.65;0.00
261;10/04/2023;22:28:22;56.57;96.00;0.84;0.10;0.74;0.00
262;10/04/2023;22:28:24;58.22;96.00;0.91;0.10;0.70;0.00
263;10/04/2023;22:28:26;58.99;96.00;0.77;0.05;0.60;0.00
264;10/04/2023;22:28:28;54.65;96.00;1.01;0.05;0.59;0.00
265;10/04/2023;22:28:30;52.50;96.00;0.86;0.00;0.55;0.00
266;10/04/2023;22:28:32;52.41;96.00;0.81;0.00;0.48;0.00
267;10/04/2023;22:28:34;51.00;96.00;1.06;0.05;0.39;0.00
268;10/04/2023;22:28:36;51.12;96.00;1.04;0.10;0.24;0.00
269;10/04/2023;22:28:38;51.71;95.99;1.27;0.10;0.15;0.00
270;10/04/2023;22:28:40;51.84;95.99;0.96;0.00;0.16;0.00
271;10/04/2023;22:28:42;53.62;95.98;0.75;0.10;0.20;0.00
272;10/04/2023;22:28:44;55.27;95.97;0.74;0.14;0.32;0.00
273;10/04/2023;22:28:46;54.99;95.96;0.95;0.18;0.33;0.00
274;10/04/2023;22:28:48;54.46;95.94;1.12;0.00;0.26;0.00
275;10/04/2023;22:28:50;55.31;95.90;0.75;0.05;0.33;0.00
276;10/04/2023;22:28:52;57.56;95.85;0.79;0.05;0.46;0.00
277;10/04/2023;22:28:54;56.45;95.77;0.92;0.14;0.59;0.00
278;10/04/2023;22:28:56;58.39;95.64;0.87;0.00;0.59;0.00
279;10/04/2023;22:28:58;59.49;95.43;1.08;0.00;0.57;0.00
280;10/04/2023;22:29:00;60.18;95.32;1.04;0.05;0.51;0.00
281;10/04/2023;22:29:02;60.77;95.27;0.85;0.00;0.36;0.00
282;10/04/2023;22:29:04;61.51;95.27;1.22;0.05;0.34;0.00
283;10/04/2023;22:29:06;61.35;95.32;1.05;0.10;0.48;0.00
284;10/04/2023;22:29:08;58.97;95.44;1.23;0.05;0.63;0.00
285;10/04/2023;22:29:10;56.29;95.65;1.08;0.00;0.62;0.00
286;10/04/2023;22:29:12;51.86;95.79;1.03;0.00;0.51;0.00
287;10/04/2023;22:29:14;49.21;95.88;1.25;0.05;0.44;0.00
288;10/04/2023;22:29:16;47.75;95.95;1.19;0.05;0.33;0.00
289;10/04/2023;22:29:18;47.25;96.01;1.49;0.14;0.23;0.00
290;10/04/2023;22:29:20;47.78;96.08;1.21;0.05;0.37;0.00
291;10/04/2023;22:29:22;48.85;96.16;1.14;0.05;0.48;0.00
292;10/04/2023;22:29:24;50.13;96.27;1.17;0.00;0.33;0.00
293;10/04/2023;22:29:26;50.94;96.44;0.99;0.00;0.19;0.00
294;10/04/2023;22:29:28;50.45;96.49;1.46;0.05;0.21;0.00
295;10/04/2023;22:29:30;49.98;96.44;1.23;0.00;0.43;0.00
296;10/04/2023;22:29:32;50.90;96.28;1.32;0.14;0.72;0.00
297;10/04/2023;22:29:34;50.66;96.18;1.30;0.00;0.76;0.00
298;10/04/2023;22:29:36;49.89;96.12;1.35;0.05;0.67;0.00
299;10/04/2023;22:29:38;49.09;96.07;1.41;0.00;0.49;0.00
300;10/04/2023;22:29:40;48.76;96.05;1.14;0.05;0.48;0.00
301;10/04/2023;22:29:42;48.83;96.03;1.15;0.05;0.65;0.00
302;10/04/2023;22:29:44;49.32;96.01;1.25;0.00;0.79;0.00
303;10/04/2023;22:29:46;50.38;96.00;1.24;0.05;0.76;0.00
304;10/04/2023;22:29:48;52.35;95.99;1.23;0.05;0.60;0.00
305;10/04/2023;22:29:50;55.80;95.98;1.03;0.05;0.43;0.00
306;10/04/2023;22:29:52;58.58;95.97;1.27;0.10;0.45;0.00
307;10/04/2023;22:29:54;58.29;95.95;1.37;0.05;0.44;0.00
308;10/04/2023;22:29:56;56.29;95.91;1.30;0.14;0.27;0.00
309;10/04/2023;22:29:58;55.57;95.87;1.41;0.00;0.12;0.00
310;10/04/2023;22:30:00;58.36;95.79;1.10;0.14;0.08;0.00
311;10/04/2023;22:30:02;58.18;95.67;0.79;0.05;0.17;0.00
312;10/04/2023;22:30:04;58.95;95.49;0.93;0.00;0.51;0.00
313;10/04/2023;22:30:06;58.92;95.40;0.92;0.00;0.61;0.00
314;10/04/2023;22:30:08;59.13;95.39;0.95;0.10;0.38;0.00
315;10/04/2023;22:30:10;60.68;95.46;0.62;0.00;0.29;0.00
316;10/04/2023;22:30:12;60.15;95.43;0.87;0.14;0.32;0.00
317;10/04/2023;22:30:14;59.65;95.28;0.98;0.10;0.55;0.00
318;10/04/2023;22:30:16;58.47;95.19;0.99;0.05;0.72;0.00
319;10/04/2023;22:30:18;55.69;95.13;0.97;0.14;0.68;0.00
320;10/04/2023;22:30:20;52.81;95.10;1.07;0.05;0.60;0.00
321;10/04/2023;22:30:22;51.32;95.08;0.82;0.00;0.55;0.00
322;10/04/2023;22:30:25;52.10;95.09;1.03;0.05;0.61;0.00
323;10/04/2023;22:30:27;54.44;95.11;1.01;0.10;0.69;0.00
324;10/04/2023;22:30:29;56.41;95.16;0.89;0.10;0.69;0.00
325;10/04/2023;22:30:31;58.36;95.23;1.07;0.00;0.62;0.00
326;10/04/2023;22:30:33;60.64;95.36;1.02;0.00;0.52;0.00
327;10/04/2023;22:30:35;63.67;95.55;0.79;0.05;0.44;0.00
328;10/04/2023;22:30:37;66.23;95.66;0.99;0.05;0.41;0.00
329;10/04/2023;22:30:39;66.94;95.70;1.16;0.00;0.39;0.00
330;10/04/2023;22:30:41;66.76;95.68;0.99;0.10;0.37;0.00
331;10/04/2023;22:30:43;65.24;95.79;0.90;0.00;0.41;0.00
332;10/04/2023;22:30:45;63.55;95.86;0.70;0.00;0.50;0.00
333;10/04/2023;22:30:47;60.80;95.91;0.84;0.05;0.65;0.00
334;10/04/2023;22:30:49;57.68;95.94;0.83;0.14;0.78;0.00
335;10/04/2023;22:30:51;54.49;95.95;0.77;0.05;0.76;0.00
336;10/04/2023;22:30:53;54.14;95.95;0.84;0.00;0.68;0.00
337;10/04/2023;22:30:55;55.81;95.95;0.85;0.14;0.52;0.00
338;10/04/2023;22:30:57;59.26;95.93;1.02;0.10;0.43;0.00
339;10/04/2023;22:30:59;62.28;95.90;1.16;0.05;0.50;0.00
340;10/04/2023;22:31:01;64.70;95.86;0.97;0.05;0.63;0.00
341;10/04/2023;22:31:03;66.94;95.78;0.93;0.05;0.62;0.00
342;10/04/2023;22:31:05;67.37;95.86;1.06;0.00;0.48;0.00
343;10/04/2023;22:31:07;66.28;95.91;1.12;0.10;0.34;0.00
344;10/04/2023;22:31:09;63.61;95.94;1.37;0.00;0.23;0.00
345;10/04/2023;22:31:11;61.28;95.96;0.94;0.00;0.22;0.00
346;10/04/2023;22:31:13;61.33;95.97;1.12;0.10;0.25;0.00
347;10/04/2023;22:31:15;63.00;95.98;1.39;0.00;0.30;0.00
348;10/04/2023;22:31:17;60.64;95.98;1.15;0.05;0.30;0.00
349;10/04/2023;22:31:19;59.91;95.98;1.20;0.00;0.27;0.00
350;10/04/2023;22:31:21;60.20;95.98;0.85;0.00;0.22;0.00
351;10/04/2023;22:31:23;61.19;95.97;1.17;0.14;0.25;0.00
352;10/04/2023;22:31:25;60.60;95.96;0.93;0.00;0.32;0.00
353;10/04/2023;22:31:27;57.08;95.94;1.26;0.05;0.40;0.00
354;10/04/2023;22:31:29;57.22;95.90;1.19;0.00;0.52;0.00
355;10/04/2023;22:31:31;56.00;95.85;1.02;0.05;0.55;0.00
356;10/04/2023;22:31:33;56.65;95.76;1.23;0.10;0.56;0.00
357;10/04/2023;22:31:35;58.16;95.63;1.30;0.00;0.63;0.00
358;10/04/2023;22:31:37;60.33;95.43;1.19;0.26;0.61;0.00
359;10/04/2023;22:31:39;63.19;95.31;1.28;0.00;0.56;0.00
360;10/04/2023;22:31:41;66.95;95.25;1.14;0.18;0.43;0.00
361;10/04/2023;22:31:43;72.10;95.25;0.95;0.00;0.38;0.00
362;10/04/2023;22:31:45;71.45;95.29;1.02;0.05;0.41;0.00
363;10/04/2023;22:31:47;69.59;95.39;1.26;0.05;0.49;0.00
364;10/04/2023;22:31:49;64.05;95.58;1.22;0.10;0.57;0.00
365;10/04/2023;22:31:51;62.10;95.67;1.03;0.05;0.62;0.00
366;10/04/2023;22:31:53;63.68;95.70;1.22;0.00;0.62;0.00
367;10/04/2023;22:31:55;65.10;95.67;1.17;0.05;0.57;0.00
368;10/04/2023;22:31:57;63.95;95.58;1.35;0.14;0.40;0.00
369;10/04/2023;22:31:59;65.26;95.60;1.22;0.00;0.34;0.00
370;10/04/2023;22:32:01;67.76;95.74;1.05;0.00;0.34;0.00
371;10/04/2023;22:32:03;63.81;95.83;0.90;0.10;0.43;0.00
372;10/04/2023;22:32:05;63.68;95.88;0.94;0.00;0.54;0.00
373;10/04/2023;22:32:07;60.94;95.91;1.12;0.00;0.63;0.00
374;10/04/2023;22:32:09;61.79;95.92;1.07;0.26;0.57;0.00
375;10/04/2023;22:32:11;59.03;95.91;0.88;0.00;0.46;0.00
376;10/04/2023;22:32:13;59.40;95.89;1.13;0.10;0.39;0.00
377;10/04/2023;22:32:15;60.53;95.85;1.23;0.10;0.39;0.00
378;10/04/2023;22:32:17;60.27;95.77;1.26;0.00;0.36;0.00
379;10/04/2023;22:32:19;56.04;95.65;1.05;0.05;0.27;0.00
380;10/04/2023;22:32:21;54.79;95.45;0.83;0.00;0.24;0.00
381;10/04/2023;22:32:23;55.24;95.35;1.11;0.14;0.31;0.00
382;10/04/2023;22:32:25;56.61;95.32;1.24;0.05;0.42;0.00
383;10/04/2023;22:32:27;58.44;95.35;1.20;0.05;0.43;0.00
384;10/04/2023;22:32:29;60.36;95.45;0.92;0.14;0.30;0.00
385;10/04/2023;22:32:31;62.05;95.65;1.07;0.00;0.24;0.00
386;10/04/2023;22:32:33;63.49;95.77;1.33;0.00;0.30;0.00
387;10/04/2023;22:32:35;63.94;95.85;1.31;0.05;0.32;0.00
388;10/04/2023;22:32:37;61.08;95.90;1.45;0.00;0.31;0.00
389;10/04/2023;22:32:39;62.43;95.92;1.13;0.10;0.43;0.00
390;10/04/2023;22:32:41;61.08;95.93;1.18;0.00;0.63;0.00
391;10/04/2023;22:32:43;57.44;95.93;1.17;0.00;0.81;0.00
392;10/04/2023;22:32:45;57.87;95.91;1.17;0.00;0.82;0.00
393;10/04/2023;22:32:48;59.57;95.87;1.10;0.05;0.83;0.00
394;10/04/2023;22:32:50;60.09;95.81;1.19;0.10;0.81;0.00
395;10/04/2023;22:32:52;62.92;95.71;1.20;0.10;0.77;0.00
396;10/04/2023;22:32:54;63.25;95.55;1.19;0.10;0.50;0.00
397;10/04/2023;22:32:56;65.05;95.51;1.09;0.22;0.22;0.00
398;10/04/2023;22:32:58;62.14;95.36;1.53;0.05;0.15;0.00
399;10/04/2023;22:33:00;58.10;95.29;1.43;0.05;0.25;0.00
400;10/04/2023;22:33:02;56.11;95.28;1.15;0.14;0.41;0.00
401;10/04/2023;22:33:04;53.84;95.32;1.26;0.18;0.46;0.00
402;10/04/2023;22:33:06;52.26;95.23;1.25;0.05;0.43;0.00
403;10/04/2023;22:33:08;52.08;95.18;1.52;0.10;0.51;0.00
404;10/04/2023;22:33:10;54.11;95.17;1.42;0.00;0.67;0.00
405;10/04/2023;22:33:12;55.55;95.20;1.35;0.05;0.67;0.00
